
============================================================
 HPO: unet (20 trials x 50 epochs)
============================================================
  0%|          | 0/20 [00:00<?, ?it/s]  Ep   1/50 | loss=1.9847 | val dir=0.386 int=0.456 *
  Ep   2/50 | loss=2.0797 | val dir=0.162 int=0.566 *
  Ep   3/50 | loss=1.9857 | val dir=0.351 int=0.581 *
  Ep   4/50 | loss=1.9218 | val dir=0.370 int=0.495 *
  Ep   5/50 | loss=1.8412 | val dir=0.488 int=0.507 *
  Ep   7/50 | loss=1.7268 | val dir=0.497 int=0.615 *
  Ep   8/50 | loss=1.7113 | val dir=0.505 int=0.534 *
  Ep  10/50 | loss=1.6394 | val dir=0.482 int=0.584
  Ep  11/50 | loss=1.6174 | val dir=0.514 int=0.599 *
  Ep  14/50 | loss=1.5670 | val dir=0.522 int=0.586 *
  Ep  17/50 | loss=1.5174 | val dir=0.530 int=0.532 *
  Ep  18/50 | loss=1.5069 | val dir=0.533 int=0.548 *
  Ep  20/50 | loss=1.4832 | val dir=0.518 int=0.555
  Ep  21/50 | loss=1.4804 | val dir=0.545 int=0.574 *
  Ep  25/50 | loss=1.4210 | val dir=0.549 int=0.567 *
  Ep  28/50 | loss=1.3732 | val dir=0.551 int=0.551 *
  Ep  30/50 | loss=1.3752 | val dir=0.540 int=0.562
  Ep  31/50 | loss=1.3199 | val dir=0.556 int=0.567 *
  Ep  33/50 | loss=1.3215 | val dir=0.563 int=0.568 *
  Ep  37/50 | loss=1.2883 | val dir=0.574 int=0.537 *
  Ep  40/50 | loss=1.2547 | val dir=0.552 int=0.537
  Early stop at ep 49
Best trial: 4. Best value: 0.613699:  50%|█████     | 10/20 [1:44:35<1:34:03, 564.31s/it]Best trial: 4. Best value: 0.613699:  55%|█████▌    | 11/20 [1:44:35<1:28:35, 590.58s/it]  Ep   1/50 | loss=1.9843 | val dir=0.034 int=0.349 *
  Ep   2/50 | loss=1.9487 | val dir=0.067 int=0.541 *
  Ep   3/50 | loss=1.8711 | val dir=0.293 int=0.595 *
  Ep   4/50 | loss=1.7963 | val dir=0.358 int=0.556 *
  Ep   5/50 | loss=1.7381 | val dir=0.397 int=0.538 *
  Ep   6/50 | loss=1.6827 | val dir=0.466 int=0.549 *
  Ep   7/50 | loss=1.6405 | val dir=0.471 int=0.582 *
  Ep   8/50 | loss=1.6032 | val dir=0.493 int=0.575 *
  Ep  10/50 | loss=1.5513 | val dir=0.468 int=0.597
  Ep  13/50 | loss=1.5250 | val dir=0.518 int=0.605 *
  Ep  18/50 | loss=1.4504 | val dir=0.529 int=0.585 *
  Ep  19/50 | loss=1.4302 | val dir=0.548 int=0.579 *
  Ep  20/50 | loss=1.4267 | val dir=0.530 int=0.593
  Ep  29/50 | loss=1.3344 | val dir=0.553 int=0.615 *
  Ep  30/50 | loss=1.3256 | val dir=0.540 int=0.597
  Ep  32/50 | loss=1.3226 | val dir=0.556 int=0.615 *
  Ep  33/50 | loss=1.3060 | val dir=0.571 int=0.589 *
  Ep  36/50 | loss=1.2807 | val dir=0.575 int=0.595 *
  Ep  38/50 | loss=1.2569 | val dir=0.577 int=0.629 *
  Ep  40/50 | loss=1.2728 | val dir=0.559 int=0.616
  Ep  50/50 | loss=1.2346 | val dir=0.578 int=0.625 *
Best trial: 4. Best value: 0.613699:  55%|█████▌    | 11/20 [1:53:54<1:28:35, 590.58s/it]Best trial: 4. Best value: 0.613699:  60%|██████    | 12/20 [1:53:54<1:17:26, 580.83s/it]  Ep   1/50 | loss=2.0224 | val dir=0.096 int=0.660 *
  Ep   2/50 | loss=1.9198 | val dir=0.329 int=0.581 *
  Ep   3/50 | loss=1.8364 | val dir=0.356 int=0.533 *
  Ep   4/50 | loss=1.7578 | val dir=0.452 int=0.496 *
  Ep   5/50 | loss=1.6836 | val dir=0.453 int=0.558 *
  Ep   6/50 | loss=1.6544 | val dir=0.511 int=0.545 *
  Ep   7/50 | loss=1.6088 | val dir=0.522 int=0.600 *
  Ep  10/50 | loss=1.5656 | val dir=0.490 int=0.597
  Ep  12/50 | loss=1.5225 | val dir=0.542 int=0.582 *
  Ep  20/50 | loss=1.4124 | val dir=0.527 int=0.538
  Ep  24/50 | loss=1.3542 | val dir=0.559 int=0.553 *
  Ep  30/50 | loss=1.2783 | val dir=0.558 int=0.559
  Early stop at ep 36
Best trial: 4. Best value: 0.613699:  60%|██████    | 12/20 [2:03:20<1:17:26, 580.83s/it]Best trial: 4. Best value: 0.613699:  65%|██████▌   | 13/20 [2:03:20<1:07:14, 576.35s/it]  Ep   1/50 | loss=2.0764 | val dir=0.138 int=0.366 *
  Ep   2/50 | loss=2.0356 | val dir=0.189 int=0.547 *
  Ep   3/50 | loss=1.9561 | val dir=0.396 int=0.579 *
  Ep   4/50 | loss=1.8758 | val dir=0.407 int=0.568 *
  Ep   5/50 | loss=1.8121 | val dir=0.445 int=0.542 *
  Ep   6/50 | loss=1.7446 | val dir=0.482 int=0.579 *
  Ep   7/50 | loss=1.7000 | val dir=0.490 int=0.575 *
  Ep   8/50 | loss=1.6425 | val dir=0.505 int=0.596 *
  Ep   9/50 | loss=1.6375 | val dir=0.518 int=0.633 *
  Ep  10/50 | loss=1.6148 | val dir=0.507 int=0.495
  Ep  12/50 | loss=1.5673 | val dir=0.537 int=0.579 *
  Ep  17/50 | loss=1.4963 | val dir=0.548 int=0.549 *
  Ep  19/50 | loss=1.4723 | val dir=0.552 int=0.547 *
  Ep  20/50 | loss=1.4669 | val dir=0.547 int=0.578
  Ep  28/50 | loss=1.3854 | val dir=0.556 int=0.595 *
  Ep  30/50 | loss=1.3552 | val dir=0.514 int=0.553
  Ep  37/50 | loss=1.3090 | val dir=0.558 int=0.605 *
  Ep  38/50 | loss=1.2887 | val dir=0.570 int=0.585 *
  Ep  39/50 | loss=1.2810 | val dir=0.574 int=0.586 *
  Ep  40/50 | loss=1.2920 | val dir=0.570 int=0.596
  Ep  43/50 | loss=1.2713 | val dir=0.579 int=0.589 *
  Ep  46/50 | loss=1.2557 | val dir=0.581 int=0.590 *
  Ep  47/50 | loss=1.2536 | val dir=0.582 int=0.581 *
  Ep  50/50 | loss=1.2535 | val dir=0.573 int=0.597
Best trial: 4. Best value: 0.613699:  65%|██████▌   | 13/20 [2:11:52<1:07:14, 576.35s/it]Best trial: 4. Best value: 0.613699:  70%|███████   | 14/20 [2:11:52<55:42, 557.03s/it]    Ep   1/50 | loss=1.9964 | val dir=0.275 int=0.599 *
  Ep   2/50 | loss=1.8963 | val dir=0.351 int=0.556 *
  Ep   3/50 | loss=1.8155 | val dir=0.352 int=0.477 *
  Ep   4/50 | loss=1.7549 | val dir=0.421 int=0.521 *
  Ep   5/50 | loss=1.6965 | val dir=0.474 int=0.547 *
  Ep   7/50 | loss=1.5916 | val dir=0.523 int=0.566 *
  Ep  10/50 | loss=1.5291 | val dir=0.512 int=0.488
  Ep  15/50 | loss=1.4455 | val dir=0.529 int=0.463 *
  Ep  20/50 | loss=1.3391 | val dir=0.507 int=0.560
  Ep  21/50 | loss=1.3347 | val dir=0.536 int=0.556 *
  Ep  22/50 | loss=1.2977 | val dir=0.544 int=0.545 *
  Ep  30/50 | loss=1.1838 | val dir=0.536 int=0.584
  Ep  32/50 | loss=1.1598 | val dir=0.545 int=0.548 *
  Ep  39/50 | loss=1.0828 | val dir=0.547 int=0.555 *
  Ep  40/50 | loss=1.0722 | val dir=0.537 int=0.574
  Ep  41/50 | loss=1.0863 | val dir=0.555 int=0.577 *
  Ep  50/50 | loss=1.0363 | val dir=0.544 int=0.556
Best trial: 4. Best value: 0.613699:  70%|███████   | 14/20 [2:25:45<55:42, 557.03s/it]Best trial: 4. Best value: 0.613699:  75%|███████▌  | 15/20 [2:25:45<53:19, 639.97s/it]  Ep   1/50 | loss=2.0763 | val dir=0.034 int=0.332 *
  Ep   2/50 | loss=2.0183 | val dir=0.345 int=0.564 *
  Ep   3/50 | loss=1.9234 | val dir=0.389 int=0.564 *
  Ep   4/50 | loss=1.8417 | val dir=0.411 int=0.518 *
  Ep   5/50 | loss=1.7894 | val dir=0.481 int=0.544 *
  Ep   6/50 | loss=1.7257 | val dir=0.488 int=0.578 *
  Ep   8/50 | loss=1.6527 | val dir=0.518 int=0.573 *
  Ep  10/50 | loss=1.6191 | val dir=0.537 int=0.533 *
  Ep  20/50 | loss=1.4563 | val dir=0.482 int=0.608
  Ep  21/50 | loss=1.4416 | val dir=0.540 int=0.556 *
  Ep  29/50 | loss=1.3613 | val dir=0.563 int=0.548 *
  Ep  30/50 | loss=1.3629 | val dir=0.538 int=0.527
  Ep  32/50 | loss=1.3193 | val dir=0.575 int=0.556 *
  Ep  33/50 | loss=1.3212 | val dir=0.581 int=0.542 *
  Ep  36/50 | loss=1.2986 | val dir=0.582 int=0.562 *
  Ep  37/50 | loss=1.2945 | val dir=0.585 int=0.573 *
  Ep  40/50 | loss=1.2830 | val dir=0.595 int=0.581 *
  Ep  43/50 | loss=1.2429 | val dir=0.599 int=0.563 *
  Ep  47/50 | loss=1.2436 | val dir=0.600 int=0.568 *
  Ep  50/50 | loss=1.2339 | val dir=0.596 int=0.562
Best trial: 4. Best value: 0.613699:  75%|███████▌  | 15/20 [2:33:48<53:19, 639.97s/it]Best trial: 4. Best value: 0.613699:  80%|████████  | 16/20 [2:33:48<39:31, 592.90s/it]  Ep   1/50 | loss=2.0722 | val dir=0.122 int=0.395 *
  Ep   2/50 | loss=2.0313 | val dir=0.164 int=0.574 *
  Ep   3/50 | loss=1.9641 | val dir=0.382 int=0.593 *
  Ep   5/50 | loss=1.8569 | val dir=0.492 int=0.481 *
  Ep   9/50 | loss=1.6729 | val dir=0.503 int=0.621 *
  Ep  10/50 | loss=1.6485 | val dir=0.475 int=0.621
  Ep  12/50 | loss=1.5933 | val dir=0.508 int=0.605 *
  Ep  14/50 | loss=1.5729 | val dir=0.516 int=0.559 *
  Ep  16/50 | loss=1.5263 | val dir=0.519 int=0.600 *
  Ep  17/50 | loss=1.5352 | val dir=0.527 int=0.573 *
  Ep  19/50 | loss=1.5164 | val dir=0.537 int=0.564 *
  Ep  20/50 | loss=1.4898 | val dir=0.507 int=0.551
  Ep  22/50 | loss=1.4653 | val dir=0.541 int=0.601 *
  Ep  23/50 | loss=1.4599 | val dir=0.547 int=0.600 *
  Ep  26/50 | loss=1.4162 | val dir=0.564 int=0.582 *
  Ep  29/50 | loss=1.4020 | val dir=0.579 int=0.614 *
  Ep  30/50 | loss=1.3773 | val dir=0.536 int=0.615
  Ep  35/50 | loss=1.3518 | val dir=0.582 int=0.573 *
  Ep  38/50 | loss=1.3163 | val dir=0.586 int=0.596 *
  Ep  40/50 | loss=1.3073 | val dir=0.590 int=0.592 *
  Ep  42/50 | loss=1.2908 | val dir=0.593 int=0.595 *
  Ep  48/50 | loss=1.2602 | val dir=0.597 int=0.588 *
  Ep  50/50 | loss=1.2778 | val dir=0.588 int=0.589
Best trial: 4. Best value: 0.613699:  80%|████████  | 16/20 [2:41:18<39:31, 592.90s/it]Best trial: 4. Best value: 0.613699:  85%|████████▌ | 17/20 [2:41:18<27:29, 549.82s/it]  Ep   1/50 | loss=2.1123 | val dir=0.207 int=0.258 *
  Ep   2/50 | loss=2.0719 | val dir=0.253 int=0.560 *
  Ep   3/50 | loss=1.9988 | val dir=0.356 int=0.573 *
  Ep   4/50 | loss=1.9054 | val dir=0.358 int=0.567 *
  Ep   6/50 | loss=1.7901 | val dir=0.464 int=0.526 *
  Ep   9/50 | loss=1.6638 | val dir=0.479 int=0.619 *
  Ep  10/50 | loss=1.6436 | val dir=0.497 int=0.586 *
  Ep  13/50 | loss=1.5947 | val dir=0.518 int=0.540 *
  Ep  16/50 | loss=1.5404 | val dir=0.525 int=0.500 *
  Ep  17/50 | loss=1.5350 | val dir=0.529 int=0.595 *
  Ep  18/50 | loss=1.5187 | val dir=0.556 int=0.482 *
  Ep  20/50 | loss=1.4861 | val dir=0.496 int=0.555
  Ep  24/50 | loss=1.4384 | val dir=0.558 int=0.599 *
